model,condition,seed,class_id,action,support,clean_accuracy,accuracy
stgcn,joint_missing_mild,3407,40,sneeze/cough,276,0.7379,0.3696
stgcn,joint_missing_mild,3407,41,staggering,276,0.9915,0.3442
stgcn,joint_missing_mild,3407,42,falling,275,0.9855,0.7891
stgcn,joint_missing_mild,3407,43,touch head (headache),276,0.7657,0.2355
stgcn,joint_missing_mild,3407,44,touch chest (stomachache/heart pain),276,0.9058,0.692
stgcn,joint_missing_mild,3407,45,touch back (backache),276,0.9263,0.5906
stgcn,joint_missing_mild,3407,46,touch neck (neckache),276,0.8816,0.5
stgcn,joint_missing_mild,3407,47,nausea or vomiting condition,275,0.8509,0.7709
stgcn,joint_missing_mild,3407,48,use a fan (with hand or paper)/feeling warm,275,0.9261,0.9527
stgcn,joint_missing_mild,3407,49,punching/slapping other person,274,0.8662,0.719
stgcn,joint_missing_mild,3407,50,kicking other person,276,0.9167,0.3623
stgcn,joint_missing_mild,3407,51,pushing other person,276,0.971,0.5254
stgcn,joint_missing_mild,3407,52,pat on back of other person,276,0.942,0.6159
stgcn,joint_missing_mild,3407,53,point finger at the other person,276,0.907,0.6051
stgcn,joint_missing_mild,3407,54,hugging other person,274,0.9757,0.8613
stgcn,joint_missing_mild,3407,55,giving something to other person,276,0.9348,0.5652
stgcn,joint_missing_mild,3407,56,touch other person's pocket,275,0.9285,0.6327
stgcn,joint_missing_mild,3407,57,handshaking,276,0.9517,0.5109
stgcn,joint_missing_mild,3407,58,walking towards each other,273,0.9939,0.5055
stgcn,joint_missing_mild,3407,59,walking apart from each other,276,0.9626,0.9819
stgcn,limb_occlusion_mild,255,0,drink water,274,0.8759,0.7299
stgcn,limb_occlusion_mild,255,1,eat meal/snack,275,0.7394,0.6364
stgcn,limb_occlusion_mild,255,2,brushing teeth,273,0.8584,0.652
stgcn,limb_occlusion_mild,255,3,brushing hair,273,0.9048,0.8095
stgcn,limb_occlusion_mild,255,4,drop,275,0.8315,0.7345
stgcn,limb_occlusion_mild,255,5,pickup,275,0.9527,0.8655
stgcn,limb_occlusion_mild,255,6,throw,275,0.9115,0.7636
stgcn,limb_occlusion_mild,255,7,sitting down,273,0.9658,0.8608
stgcn,limb_occlusion_mild,255,8,standing up (from sitting position),273,0.9805,0.8205
stgcn,limb_occlusion_mild,255,9,clapping,273,0.7827,0.6667
stgcn,limb_occlusion_mild,255,10,reading,273,0.6032,0.5128
stgcn,limb_occlusion_mild,255,11,writing,272,0.5245,0.4485
stgcn,limb_occlusion_mild,255,12,tear up paper,271,0.8954,0.8266
stgcn,limb_occlusion_mild,255,13,wear jacket,275,0.983,0.9636
stgcn,limb_occlusion_mild,255,14,take off jacket,276,0.9589,0.8804
stgcn,limb_occlusion_mild,255,15,wear a shoe,273,0.6545,0.5201
stgcn,limb_occlusion_mild,255,16,take off a shoe,274,0.7798,0.6825
stgcn,limb_occlusion_mild,255,17,wear on glasses,273,0.906,0.8168
stgcn,limb_occlusion_mild,255,18,take off glasses,274,0.9343,0.8321
stgcn,limb_occlusion_mild,255,19,put on a hat/cap,272,0.9498,0.7757
stgcn,limb_occlusion_mild,255,20,take off a hat/cap,273,0.9731,0.7802
stgcn,limb_occlusion_mild,255,21,cheer up,274,0.9234,0.854
stgcn,limb_occlusion_mild,255,22,hand waving,274,0.9063,0.7701
stgcn,limb_occlusion_mild,255,23,kicking something,276,0.9372,0.8659
stgcn,limb_occlusion_mild,255,24,reach into pocket,274,0.8358,0.7409
stgcn,limb_occlusion_mild,255,25,hopping (one foot jumping),275,0.9879,0.9527
stgcn,limb_occlusion_mild,255,26,jump up,276,0.9964,0.9601
stgcn,limb_occlusion_mild,255,27,make a phone call/answer phone,275,0.8679,0.7236
stgcn,limb_occlusion_mild,255,28,playing with phone/tablet,275,0.6824,0.5927
stgcn,limb_occlusion_mild,255,29,typing on a keyboard,275,0.7515,0.6218
stgcn,limb_occlusion_mild,255,30,pointing to something with finger,276,0.7585,0.6014
stgcn,limb_occlusion_mild,255,31,taking a selfie,276,0.8925,0.7355
stgcn,limb_occlusion_mild,255,32,check time (from watch),276,0.8829,0.6884
stgcn,limb_occlusion_mild,255,33,rub two hands together,276,0.8829,0.7971
stgcn,limb_occlusion_mild,255,34,nod head/bow,276,0.965,0.8406
stgcn,limb_occlusion_mild,255,35,shake head,275,0.9418,0.8255
stgcn,limb_occlusion_mild,255,36,wipe face,276,0.8321,0.6232
stgcn,limb_occlusion_mild,255,37,salute,276,0.9179,0.7246
