model,condition,class_id,action,support,clean_accuracy,mean_accuracy,std_accuracy,absolute_drop
stgcn,coord_noise_mild,20,take off a hat/cap,273,0.9731,0.7265,0.1309,0.2466
stgcn,coord_noise_mild,21,cheer up,274,0.9234,0.7993,0.0132,0.1241
stgcn,coord_noise_mild,22,hand waving,274,0.9063,0.7275,0.0423,0.1788
stgcn,coord_noise_mild,23,kicking something,276,0.9372,0.7053,0.2008,0.2319
stgcn,coord_noise_mild,24,reach into pocket,274,0.8358,0.5195,0.1281,0.3163
stgcn,coord_noise_mild,25,hopping (one foot jumping),275,0.9879,0.8909,0.0109,0.097
stgcn,coord_noise_mild,26,jump up,276,0.9964,0.9831,0.0042,0.0133
stgcn,coord_noise_mild,27,make a phone call/answer phone,275,0.8679,0.3273,0.0846,0.5406
stgcn,coord_noise_mild,28,playing with phone/tablet,275,0.6824,0.1806,0.123,0.5018
stgcn,coord_noise_mild,29,typing on a keyboard,275,0.7515,0.7261,0.0923,0.0255
stgcn,coord_noise_mild,30,pointing to something with finger,276,0.7585,0.6582,0.0524,0.1002
stgcn,coord_noise_mild,31,taking a selfie,276,0.8925,0.6848,0.0471,0.2077
stgcn,coord_noise_mild,32,check time (from watch),276,0.8829,0.6643,0.0372,0.2186
stgcn,coord_noise_mild,33,rub two hands together,276,0.8829,0.378,0.1478,0.5048
stgcn,coord_noise_mild,34,nod head/bow,276,0.965,0.8406,0.0543,0.1244
stgcn,coord_noise_mild,35,shake head,275,0.9418,0.217,0.1729,0.7248
stgcn,coord_noise_mild,36,wipe face,276,0.8321,0.1413,0.113,0.6908
stgcn,coord_noise_mild,37,salute,276,0.9179,0.6727,0.0838,0.2452
stgcn,coord_noise_mild,38,put the palms together,276,0.9408,0.4457,0.1685,0.4952
stgcn,coord_noise_mild,39,cross hands in front (say stop),276,0.8998,0.8418,0.0807,0.058
stgcn,coord_noise_mild,40,sneeze/cough,276,0.7379,0.4143,0.0693,0.3237
stgcn,coord_noise_mild,41,staggering,276,0.9915,0.8104,0.0241,0.1812
stgcn,coord_noise_mild,42,falling,275,0.9855,0.9733,0.0021,0.0121
stgcn,coord_noise_mild,43,touch head (headache),276,0.7657,0.3514,0.2122,0.4143
stgcn,coord_noise_mild,44,touch chest (stomachache/heart pain),276,0.9058,0.6377,0.0188,0.2681
stgcn,coord_noise_mild,45,touch back (backache),276,0.9263,0.5411,0.1234,0.3853
stgcn,coord_noise_mild,46,touch neck (neckache),276,0.8816,0.3454,0.1329,0.5362
stgcn,coord_noise_mild,47,nausea or vomiting condition,275,0.8509,0.8,0.0788,0.0509
stgcn,coord_noise_mild,48,use a fan (with hand or paper)/feeling warm,275,0.9261,0.9309,0.0189,-0.0048
stgcn,coord_noise_mild,49,punching/slapping other person,274,0.8662,0.6788,0.0442,0.1873
stgcn,coord_noise_mild,50,kicking other person,276,0.9167,0.5157,0.1166,0.401
stgcn,coord_noise_mild,51,pushing other person,276,0.971,0.6365,0.0397,0.3345
stgcn,coord_noise_mild,52,pat on back of other person,276,0.942,0.7198,0.1937,0.2222
stgcn,coord_noise_mild,53,point finger at the other person,276,0.907,0.8345,0.0638,0.0725
stgcn,coord_noise_mild,54,hugging other person,274,0.9757,0.8564,0.0187,0.1192
stgcn,coord_noise_mild,55,giving something to other person,276,0.9348,0.7017,0.1376,0.2331
